22/05/2021 9:29:43 a. m.

Radiation device:	Clinax ix Accelerator
Energy:	6 MeV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	950 mm
Field size:	200 x 200 mm
Gantry angle:	0
Measurement medium:	Air
Scan type:	Inline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
-189,3	0,0	0,0	30629,9	14249	6,6
-188,6	0,0	0,0	30003,2	13958	6,7
-187,1	0,0	0,0	28840,3	13417	7,0
-185,7	0,0	0,0	35557,8	16542	7,2
-184,8	0,0	0,0	34553,8	16075	7,4
-183,8	0,0	0,0	34433,6	16019	7,7
-182,9	0,0	0,0	37044,0	17233	7,9
-181,8	0,0	0,0	36838,2	17137	8,2
-180,8	0,0	0,0	39072,9	18177	8,3
-179,8	0,0	0,0	39824,6	18527	8,6
-178,9	0,0	0,0	40207,4	18705	8,8
-177,7	0,0	0,0	43872,8	20410	9,1
-176,8	0,0	0,0	39428,4	18342	9,4
-175,8	0,0	0,0	46422,1	21596	9,7
-174,7	0,0	0,0	46178,8	21483	9,9
-173,8	0,0	0,0	47092,7	21908	10,2
-172,7	0,0	0,0	50351,1	23424	10,5
-171,8	0,0	0,0	45793,9	21304	10,8
-170,8	0,0	0,0	54441,7	25327	11,2
-169,8	0,0	0,0	53481,5	24880	11,5
-168,7	0,0	0,0	58218,6	27084	12,0
-167,6	0,0	0,0	56216,1	26152	12,2
-166,7	0,0	0,0	53432,1	24857	12,7
-165,8	0,0	0,0	62072,7	28877	13,1
-164,6	0,0	0,0	64709,3	30103	13,5
-163,6	0,0	0,0	61334,6	28533	13,9
-162,9	0,0	0,0	69512,0	32338	14,3
-161,9	0,0	0,0	64211,3	29872	14,8
-160,7	0,0	0,0	73639,9	34258	15,4
-159,7	0,0	0,0	63918,6	29736	15,8
-158,5	0,0	0,0	76094,3	35400	16,4
-157,7	0,0	0,0	79416,1	36945	16,9
-156,7	0,0	0,0	73701,3	34287	17,4
-155,6	0,0	0,0	85154,4	39615	18,0
-154,6	0,0	0,0	87897,7	40891	18,5
-153,8	0,0	0,0	88498,4	41170	19,1
-152,8	0,0	0,0	96116,9	44715	19,7
-151,7	0,0	0,0	86580,9	40278	20,4
